Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%),Material_Footprint_Per_Capita,Continent,Hemisphere,Waste_Per_Capita_kg,Economic_Loss_Per_Capita_USD,Carbon_Footprint_kgCO2e,Carbon_Per_Capita_kgCO2e,Years_From_2018,Is_Pandemic_Year,Is_Post_Pandemic,Year_Trend,Country_Trend,Year_Cycle,Year_Cycle_Cos,Population_Material_Interaction,Year_Population_Interaction,GDP_Per_Capita_Proxy,Waste_Efficiency,Economic_Intensity,Waste_Trend,Economic_Trend,Category_Waste_Share,Category_Economic_Share,Sustainability_Score,Country_Encoded,Food Category_Encoded,Continent_Encoded,Hemisphere_Encoded,ISO_Code,Correct_Waste_Per_Capita_kg,Correct_Carbon_Per_Capita_kgCO2e,Correct_Economic_Loss_Per_Capita_USD
South Africa,2024,Frozen Food,39478.7,40087.26,155.55,375.84,31.16,17.549999999999997,Africa,Unknown,0.1050412409535972,106.66044061302682,39478700.0,0.1050412409535972,6,0,1,6,226.5,1271.7167061731484,-0.8090169943750019,6595.991999999998,2255.04,106660.44061302685,105.04124095359728,1.0154148946140578,39478.7,40087.26,0.0407443023723924,0.0409144478493951,74.6281822051937,14,3,0,2,ZAF,0.10504124095359728,0.10504124095359728,106.66044061302682
Japan,2022,Frozen Food,41025.9,35437.9,49.95,1219.43,33.79,17.549999999999997,Asia,Unknown,0.0336435055722755,29.061036713874515,41025900.0,0.0336435055722755,4,1,0,4,165.5,1270.4600691117123,0.3090169943750283,21400.996499999997,4877.72,29061.036713874513,33.64350557227557,0.8637933598044163,41025.9,35437.9,0.0591151952719025,0.0493140824275566,92.38380554849395,10,3,2,2,JPN,0.03364350557227557,0.03364350557227557,29.061036713874515
USA,2024,Beverages,22924.85,22406.24,89.59,836.05,45.43,17.549999999999997,America,Unknown,0.0274204294001554,26.800119610071167,22924850.0,0.0274204294001554,6,0,1,6,236.5,1271.7167061731484,-0.8090169943750019,14672.677499999996,5016.299999999999,26800.11961007117,27.42042940015549,0.977377823628072,22924.85,22406.24,0.0242461148744335,0.0237496909027691,93.48112792297113,19,1,1,2,USA,0.02742042940015549,0.02742042940015549,26.800119610071167
France,2018,Beverages,29295.07,34102.25,46.64,1286.73,32.95,17.61,Europe,Northern Hemisphere,0.0227670684603607,26.5030348247107,29295070.0,0.0227670684603607,0,0,0,0,19.5,1267.9467949888406,0.3090169943749612,22659.3153,0.0,26503.0348247107,22.76706846036076,1.1640951873472225,36230.443333333336,37211.43,0.0323614751008897,0.039286960827943,94.16230693307844,5,1,3,0,FRA,0.022767068460360758,0.022767068460360758,26.5030348247107
USA,2022,Bakery Items,32457.98,27905.84,46.77,865.6,46.46,17.549999999999997,America,Unknown,0.0374976663585951,32.238724584103515,32457980.0,0.0374976663585951,4,1,0,4,156.5,1270.4600691117123,0.3090169943750283,15191.28,3462.4,32238.724584103507,37.49766635859519,0.8597528250371711,27691.415,25156.04,0.0261700818679486,0.022675613582577,91.52645425138633,19,0,1,2,USA,0.037497666358595194,0.037497666358595194,32.238724584103515
USA,2021,Meat & Seafood,43264.26,44777.94,41.81,665.18,48.22,17.549999999999997,America,Unknown,0.0650414323942391,67.31702697014342,43264260.0,0.0650414323942391,3,1,0,3,119.5,1269.8317505809944,0.8090169943749828,11673.908999999998,1995.54,67317.02697014343,65.04143239423917,1.03498684595553,32882.363333333335,31696.673333333336,0.0615043716261044,0.0635347575232983,84.16249676779218,19,6,1,2,USA,0.06504143239423915,0.06504143239423915,67.31702697014342
Brazil,2021,Frozen Food,23131.08,21882.67,50.79,853.06,49.78,18.87,America,Southern Hemisphere,0.0271154197828992,25.65197055306778,23131080.0,0.0271154197828992,3,1,0,3,132.0,1269.8317505809944,0.8090169943749828,16097.2422,2559.18,25651.970553067786,27.115419782899213,0.9460288927278794,23131.08,21882.67,0.0323801635025318,0.0297219696872356,93.63864417508734,2,3,1,1,BRA,0.02711541978289921,0.02711541978289921,25.65197055306778
Saudi Arabia,2020,Prepared Food,18483.82,21071.65,198.62,143.12,48.83,30.03,Asia,Northern Hemisphere,0.129149105645612,147.23064561207377,18483820.0,0.129149105645612,2,1,0,2,92.5,1269.2034320502764,1.0,4297.8936,286.24,147230.6456120738,129.14910564561208,1.1400051504505022,18483.82,21071.65,0.0224516159563405,0.0255170556170975,67.19606064840693,13,7,2,0,SAU,0.12914910564561208,0.12914910564561208,147.23064561207377
UK,2022,Meat & Seafood,25829.56,20806.34,119.62,185.01,32.51,17.549999999999997,Europe,Unknown,0.1396116966650451,112.46062375006755,25829560.0,0.1396116966650451,4,1,0,4,145.0,1270.4600691117123,0.3090169943750283,3246.9254999999994,740.04,112460.62375006756,139.61169666504514,0.8055243682044912,20312.605,17576.655,0.0228943658478811,0.0184778429763004,69.20830009188693,18,6,3,2,GBR,0.13961169666504514,0.13961169666504514,112.46062375006757
China,2018,Prepared Food,11314.08,10287.7,111.67,953.52,33.75,21.34,Asia,Northern Hemisphere,0.0118655927510697,10.789181139357328,11314080.0,0.0118655927510697,0,0,0,0,22.5,1267.9467949888406,0.3090169943749612,20348.1168,0.0,10789.18113935733,11.86559275106972,0.9092829465586244,12052.64,11260.490000000002,0.009797967070438,0.0090638069827163,97.2598989009145,4,7,2,0,CHN,0.01186559275106972,0.01186559275106972,10.789181139357328
Saudi Arabia,2019,Fruits & Vegetables,10653.37,8992.33,74.16,37.76,46.44,30.03,Asia,Northern Hemisphere,0.2821337394067796,238.14433262711864,10653370.0,0.2821337394067796,1,0,0,1,56.0,1268.5751135195585,0.8090169943749413,1133.9328,37.76,238144.33262711865,282.1337394067797,0.8440831398890679,14568.595,15031.990000000002,0.0099079058054916,0.0085184085934553,36.686843220338986,13,4,2,0,SAU,0.28213373940677966,0.28213373940677966,238.14433262711864
Australia,2020,Fruits & Vegetables,1322.82,1394.01,88.85,205.78,30.63,46.82,Oceania,Southern Hemisphere,0.006428321508407,6.7742734959665665,1322820.0,0.006428321508407,2,1,0,2,75.0,1269.2034320502764,1.0,9634.6196,411.56,6774.273495966567,6.428321508407036,1.0538168458293646,10295.725,10040.345,0.0017728257344145,0.001912479370683,98.42260763922636,1,4,4,1,AUS,0.006428321508407037,0.006428321508407037,6.7742734959665665
India,2023,Meat & Seafood,33403.26,39125.38,137.6,1299.21,36.55,17.549999999999997,Asia,Unknown,0.0257104394208788,30.114746653735732,33403260.000000004,0.0257104394208788,5,0,1,5,210.0,1271.0883876424302,-0.3090169943748428,22801.135499999997,6496.05,30114.74665373573,25.71043942087884,1.1713042379695873,19161.49,21317.53,0.0407763548544334,0.0490253307570673,93.38906381570338,7,6,2,2,IND,0.025710439420878844,0.025710439420878844,30.114746653735732
Italy,2023,Fruits & Vegetables,30875.29,31341.6,198.26,349.04,52.64,17.549999999999997,Europe,Unknown,0.0884577412330964,89.79371991748796,30875290.0,0.0884577412330964,5,0,1,5,189.5,1271.0883876424302,-0.3090169943748428,6125.651999999999,1745.2,89793.71991748796,88.45774123309648,1.0151030160364485,30875.29,31341.6,0.0229643945668842,0.0228892339739868,78.6365442356177,9,4,3,2,ITA,0.08845774123309649,0.08845774123309649,89.79371991748796
Saudi Arabia,2024,Prepared Food,33085.77,28923.13,37.71,552.45,38.96,17.549999999999997,Asia,Unknown,0.0598891664404018,52.35429450629016,33085769.999999996,0.0598891664404018,6,0,1,6,219.5,1271.7167061731484,-0.8090169943750019,9695.4975,3314.7000000000003,52354.29450629016,59.88916644040184,0.8741863949365544,20740.986666666668,19662.37,0.0326114093315743,0.0280441310228168,86.38008724771473,13,7,2,2,SAU,0.05988916644040184,0.05988916644040184,52.35429450629016
Germany,2018,Beverages,12336.2,10077.91,38.86,689.21,36.92,20.23,Europe,Northern Hemisphere,0.017899043832794,14.622408264534757,12336200.0,0.017899043832794,0,0,0,0,21.0,1267.9467949888406,0.3090169943749612,13942.7183,0.0,14622.408264534755,17.899043832794067,0.8169379549618196,22358.36,19392.773333333334,0.0121050836896552,0.0100652451033913,96.03189303695537,6,1,3,0,DEU,0.01789904383279407,0.01789904383279407,14.622408264534757
Brazil,2021,Bakery Items,5949.18,6656.14,35.46,698.43,61.48,18.87,America,Southern Hemisphere,0.008517933078476,9.530146185014962,5949180.0,0.008517933078476,3,1,0,3,132.0,1269.8317505809944,0.8090169943749828,13179.3741,2095.29,9530.146185014964,8.51793307847601,1.1188331837328842,14540.13,14269.405,0.0083279907858168,0.0090406514065238,97.85447475051186,2,0,1,1,BRA,0.00851793307847601,0.00851793307847601,9.530146185014962
France,2018,Frozen Food,17470.52,16267.24,73.76,855.4,60.11,17.61,Europe,Northern Hemisphere,0.0204238017301847,19.017114800093523,17470520.0,0.0204238017301847,0,0,0,0,19.5,1267.9467949888406,0.3090169943749612,15063.594,0.0,19017.114800093525,20.42380173018471,0.9311251181991148,26620.72,29116.77,0.0192992130750872,0.0187404180269263,95.2389562777648,5,3,3,0,FRA,0.02042380173018471,0.02042380173018471,19.017114800093523
Spain,2021,Fruits & Vegetables,41676.18,43058.29,135.22,1325.54,54.32,13.48,Europe,Northern Hemisphere,0.0314409071020112,32.48358404876503,41676180.0,0.0314409071020112,3,1,0,3,144.0,1269.8317505809944,0.8090169943749828,17868.2792,3976.62,32483.58404876503,31.440907102011256,1.0331630682082666,41676.18,43058.29,0.0378955777117498,0.0392882260125886,92.34991460084191,16,4,3,0,ESP,0.03144090710201126,0.03144090710201126,32.48358404876503
Mexico,2018,Meat & Seafood,20604.34,23257.47,31.88,412.45,67.53,10.89,America,Northern Hemisphere,0.049955970420657,56.388580433992,20604340.0,0.049955970420657,0,0,0,0,19.5,1267.9467949888406,0.3090169943749612,4491.5805,0.0,56388.58043399201,49.95597042065705,1.1287655901620728,20604.34,23257.47,0.0198612172629687,0.0228105530979017,87.36730609770882,11,6,1,0,MEX,0.049955970420657046,0.049955970420657046,56.388580433992
Argentina,2020,Bakery Items,49310.46,49520.57,21.69,983.97,55.47,15.81,America,Southern Hemisphere,0.0501137839568279,50.327316889742576,49310460.0,0.0501137839568279,2,1,0,2,94.5,1269.2034320502764,1.0,15556.5657,1967.94,50327.31688974257,50.11378395682795,1.004260962075795,49310.46,49520.57,0.0471903883865757,0.0456581119728704,87.95133855706982,0,0,1,1,ARG,0.05011378395682795,0.05011378395682795,50.327316889742576
Indonesia,2024,Frozen Food,26812.66,28028.3,57.0,891.66,48.81,17.549999999999997,Asia,Unknown,0.0300704977233474,31.433842496018663,26812660.0,0.0300704977233474,6,0,1,6,227.5,1271.7167061731484,-0.8090169943750019,15648.632999999996,5349.96,31433.842496018664,30.070497723347465,1.0453382842284205,15364.815,16211.39,0.0316009749813465,0.0337646743995311,92.64674606912948,8,3,2,2,IDN,0.030070497723347463,0.030070497723347463,31.433842496018663
Argentina,2022,Bakery Items,17868.63,20588.93,82.52,897.76,54.59,17.549999999999997,America,Unknown,0.019903571110319,22.933668240955267,17868630.0,0.019903571110319,4,1,0,4,164.5,1270.4600691117123,0.3090169943750283,15755.687999999996,3591.04,22933.668240955267,19.903571110319017,1.1522388677811335,33589.545,35054.75,0.0248162887887535,0.0287228839408092,94.9201332204598,0,0,1,2,ARG,0.019903571110319016,0.019903571110319016,22.933668240955267
USA,2019,Bakery Items,13732.64,15129.94,156.84,618.88,38.14,17.549999999999997,America,Unknown,0.0221895036194415,24.447291882109617,13732640.0,0.0221895036194415,1,0,0,1,57.0,1268.5751135195585,0.8090169943749413,10861.343999999996,618.88,24447.291882109617,22.18950361944157,1.101750282538536,29818.29333333333,29271.24,0.0146331685587332,0.0164104196056808,94.44874030506722,19,0,1,2,USA,0.02218950361944157,0.02218950361944157,24.447291882109617
Saudi Arabia,2019,Beverages,29827.95,31970.55,102.81,1235.4,66.68,30.03,Asia,Northern Hemisphere,0.0241443661971831,25.8787032540068,29827950.0,0.0241443661971831,1,0,0,1,56.0,1268.5751135195585,0.8090169943749413,37099.062000000005,1235.4,25878.7032540068,24.144366197183096,1.0718319562692038,24522.36333333333,23295.336666666662,0.0277407542374775,0.0302856109437147,94.03191840699368,13,1,2,0,SAU,0.0241443661971831,0.0241443661971831,25.8787032540068
Canada,2021,Frozen Food,28802.2,29584.64,190.42,687.81,33.73,35.05,America,Northern Hemisphere,0.0418752271702941,43.01280876986377,28802200.0,0.0418752271702941,3,1,0,3,130.0,1269.8317505809944,0.8090169943749828,24107.740499999996,2063.43,43012.808769863776,41.87522717029413,1.027165980376499,28802.2,29584.64,0.0238240032304204,0.0245823232972059,89.83618731917244,3,3,1,0,CAN,0.04187522717029412,0.04187522717029412,43.01280876986377
South Korea,2023,Frozen Food,29848.3,27362.18,47.82,1131.8,49.97,17.549999999999997,Asia,Unknown,0.0263724156211344,24.175808446722037,29848300.0,0.0263724156211344,5,0,1,5,190.0,1271.0883876424302,-0.3090169943748428,19863.089999999997,5659.0,24175.808446722036,26.372415621134476,0.9167081542332396,29848.3,27362.18,0.0420815774082963,0.0384648971674547,93.89028096836898,15,3,2,2,KOR,0.026372415621134477,0.026372415621134477,24.175808446722037
Brazil,2024,Grains & Cereals,39420.56,34541.01,65.63,513.73,56.49,17.549999999999997,America,Unknown,0.0767340042434742,67.23572693827496,39420560.0,0.0767340042434742,6,0,1,6,241.0,1271.7167061731484,-0.8090169943750019,9015.9615,3082.38,67235.72693827497,76.73400424347419,0.8762181460638815,22833.60666666667,21026.606666666667,0.0417589461471378,0.0372147358158011,82.5336667120861,2,5,1,2,BRA,0.0767340042434742,0.0767340042434742,67.23572693827496
Brazil,2024,Prepared Food,37292.94,35268.41,80.6,619.76,57.0,17.549999999999997,America,Unknown,0.0601731960759003,56.90656060410481,37292940.0,0.0601731960759003,6,0,1,6,241.0,1271.7167061731484,-0.8090169943750019,10876.788,3718.56,56906.560604104816,60.17319607590035,0.9457127810250412,27554.226666666666,25488.52,0.0395051179670822,0.0379984418751321,85.88509648896347,2,7,1,2,BRA,0.06017319607590035,0.06017319607590035,56.90656060410481
Japan,2020,Beverages,44797.11,41233.8,64.74,1234.63,65.69,18.18,Asia,Northern Hemisphere,0.0362838340231486,33.397698095785785,44797110.0,0.0362838340231486,2,1,0,2,97.0,1269.2034320502764,1.0,22445.5734,2469.26,33397.69809578578,36.28383402314864,0.920456699104027,42911.505000000005,38335.850000000006,0.0471181332223685,0.0446787951355376,91.5804934271806,10,1,2,0,JPN,0.03628383402314864,0.03628383402314864,33.397698095785785
Japan,2023,Bakery Items,40398.07,48103.94,177.95,367.79,32.26,17.549999999999997,Asia,Unknown,0.1098400445906631,130.79186492291797,40398070.0,0.1098400445906631,5,0,1,5,195.0,1271.0883876424302,-0.3090169943748428,6454.714499999999,1838.95,130791.86492291796,109.84004459066314,1.190748468924382,42073.693333333336,41591.880000000005,0.050753346300344,0.0630271177316163,71.54320726501537,10,0,2,2,JPN,0.10984004459066316,0.10984004459066316,130.79186492291797
Russia,2020,Dairy Products,13679.64,14249.79,182.75,776.16,51.14,17.549999999999997,Europe,Unknown,0.0176247680890538,18.359346011131727,13679640.0,0.0176247680890538,2,1,0,2,74.5,1269.2034320502764,1.0,13621.607999999997,1552.32,18359.346011131725,17.624768089053802,1.0416787283875892,13679.64,14249.79,0.0152619349994263,0.0161977036501079,95.69659786641928,12,2,3,2,RUS,0.017624768089053805,0.017624768089053805,18.359346011131727
China,2024,Frozen Food,11766.79,11890.12,21.26,84.69,37.22,17.549999999999997,Asia,Unknown,0.1389395442200968,140.3957964340536,11766790.0,0.1389395442200968,6,0,1,6,244.0,1271.7167061731484,-0.8090169943750019,1486.3094999999996,508.14,140395.7964340536,138.93954422009685,1.010481193256615,11957.356666666668,11470.366666666669,0.0122546861888784,0.0121690734971358,66.5088841657811,4,3,2,2,CHN,0.13893954422009683,0.13893954422009683,140.3957964340536
Argentina,2021,Meat & Seafood,24444.03,26615.82,123.83,303.78,60.73,15.81,America,Southern Hemisphere,0.0804662255579695,87.61544538810982,24444030.0,0.0804662255579695,3,1,0,3,130.5,1269.8317505809944,0.8090169943749828,4802.761799999999,911.34,87615.44538810982,80.4662255579696,1.0888474609137693,30541.039999999997,32241.773333333334,0.0232876893340694,0.0252259082748457,79.97318388307328,0,6,1,1,ARG,0.08046622555796959,0.08046622555796959,87.61544538810982
Russia,2019,Bakery Items,15476.91,13087.99,176.5,1335.8,36.7,17.549999999999997,Europe,Unknown,0.0115862479413085,9.797866447072916,15476910.0,0.0115862479413085,1,0,0,1,41.5,1268.5751135195585,0.8090169943749413,23443.289999999994,1335.8,9797.866447072916,11.58624794130858,0.8456461916493667,14578.275,13668.89,0.0216373624353379,0.0188600522101633,97.3981386435095,12,0,3,2,RUS,0.011586247941308579,0.011586247941308579,9.797866447072915
Saudi Arabia,2018,Frozen Food,2751.15,2310.76,52.39,622.92,51.0,28.79,Asia,Northern Hemisphere,0.0044165382392602,3.709561420407115,2751150.0,0.0044165382392602,0,0,0,0,19.0,1267.9467949888406,0.3090169943749612,17933.8668,0.0,3709.561420407116,4.416538239260259,0.8399251222216164,21888.289999999997,21068.146666666664,0.0029170962548562,0.0024179429625131,99.01072850446286,13,3,2,0,SAU,0.0044165382392602585,0.0044165382392602585,3.709561420407115
Italy,2024,Fruits & Vegetables,20238.65,18395.86,22.64,467.6,50.9,17.549999999999997,Europe,Unknown,0.0432819717707442,39.34101796407186,20238650.0,0.0432819717707442,6,0,1,6,234.0,1271.7167061731484,-0.8090169943750019,8206.38,2805.6000000000004,39341.017964071856,43.28197177074423,0.9089469900413316,25556.97,24868.73,0.0188411690284105,0.0176496378985549,90.00642215568861,9,4,3,2,ITA,0.04328197177074423,0.04328197177074423,39.34101796407186
USA,2022,Dairy Products,8731.68,10040.12,63.83,543.41,42.96,17.549999999999997,America,Unknown,0.016068309379658,18.476141403360263,8731680.0,0.016068309379658,4,1,0,4,156.5,1270.4600691117123,0.3090169943750283,9536.845499999998,2173.64,18476.141403360267,16.068309379658086,1.1498497425466807,21909.52666666666,23316.0,0.0070401417600457,0.00815835973555,95.90282254651184,19,2,1,2,USA,0.016068309379658086,0.016068309379658086,18.476141403360263
UK,2023,Grains & Cereals,23609.83,25520.57,152.21,272.87,66.14,17.549999999999997,Europe,Unknown,0.0865240957232381,93.52647780994612,23609830.0,0.0865240957232381,5,0,1,5,190.0,1271.0883876424302,-0.3090169943748428,4788.8685,1364.35,93526.47780994613,86.52409572323818,1.0809298499819775,21411.680000000004,20224.626666666667,0.0272617669578793,0.0295858868270042,78.53397881775204,18,5,3,2,GBR,0.08652409572323817,0.08652409572323817,93.52647780994613
South Korea,2024,Grains & Cereals,38427.68,31258.66,92.89,952.23,40.69,17.549999999999997,Asia,Unknown,0.0403554603404639,32.826796047173474,38427680.0,0.0403554603404639,6,0,1,6,223.5,1271.7167061731484,-0.8090169943750019,16711.636499999997,5713.38,32826.79604717348,40.35546034046397,0.8134412485999675,34137.99,29310.42,0.0467768164289123,0.0376547160500085,91.0675559476177,15,5,2,2,KOR,0.040355460340463965,0.040355460340463965,32.826796047173474
Germany,2023,Bakery Items,33550.41,32946.48,193.85,1333.3,55.02,17.549999999999997,Europe,Unknown,0.0251634365859146,24.710477761944052,33550410.000000004,0.0251634365859146,5,0,1,5,229.0,1271.0883876424302,-0.3090169943748428,23399.414999999994,6666.5,24710.47776194405,25.163436585914653,0.9819993257906536,30308.443333333333,27405.213333333333,0.0332494700441148,0.0327055003137532,94.00607110177756,6,0,3,2,DEU,0.02516343658591465,0.02516343658591465,24.710477761944052
Australia,2020,Beverages,45243.85,37828.94,47.21,559.57,50.34,46.82,Oceania,Southern Hemisphere,0.0808546741247743,67.60358846971782,45243850.0,0.0808546741247743,2,1,0,2,75.0,1269.2034320502764,1.0,26199.067400000004,1119.14,67603.58846971783,80.85467412477438,0.8361123113970187,21945.1,19303.210000000003,0.0606352047927863,0.051898528249299,81.9199867755598,1,1,4,1,AUS,0.08085467412477439,0.08085467412477439,67.60358846971782
UK,2023,Meat & Seafood,30022.09,24487.08,92.64,1278.03,54.63,17.549999999999997,Europe,Unknown,0.0234909117939328,19.160019717847,30022090.0,0.0234909117939328,5,0,1,5,190.0,1271.0883876424302,-0.3090169943748428,22429.42649999999,6390.15,19160.019717847,23.49091179393285,0.8156354204520738,26487.160000000003,23604.663333333338,0.0346658667668712,0.0283877663235499,94.7952703770647,18,6,3,2,GBR,0.02349091179393285,0.02349091179393285,19.160019717847
Argentina,2019,Prepared Food,49481.61,51126.24,95.46,1281.78,59.3,15.81,America,Southern Hemisphere,0.0386038243692365,39.886907269578245,49481610.0,0.0386038243692365,1,0,0,1,54.5,1268.5751135195585,0.8090169943749413,20264.9418,1281.78,39886.907269578245,38.603824369236534,1.0332371966069818,30598.089999999997,32776.996666666666,0.0442568312798178,0.0455236048791537,90.60677386134908,0,7,1,1,ARG,0.03860382436923653,0.03860382436923653,39.886907269578245
Australia,2022,Grains & Cereals,13313.78,13273.68,140.85,183.45,41.34,17.549999999999997,Oceania,Unknown,0.072574434450804,72.35584627964023,13313780.0,0.072574434450804,4,1,0,4,144.0,1270.4600691117123,0.3090169943750283,3219.547499999999,733.8,72355.84627964023,72.57443445080405,0.9969880830237544,19960.15,17498.876666666667,0.0166361598720146,0.0169551508969445,82.60399454892341,1,5,4,2,AUS,0.07257443445080404,0.07257443445080404,72.35584627964023
UK,2021,Frozen Food,33936.66,31082.9,24.93,1234.55,66.51,17.549999999999997,Europe,Unknown,0.0274890931918512,25.17751407395407,33936660.0,0.0274890931918512,3,1,0,3,105.0,1269.8317505809944,0.8090169943749828,21666.352499999997,3703.65,25177.514073954077,27.48909319185129,0.9159092261878452,29189.526666666672,27030.183333333334,0.0429622671756192,0.0383773363511798,93.6337755457454,18,3,3,2,GBR,0.02748909319185128,0.02748909319185128,25.17751407395407
Russia,2020,Prepared Food,26418.47,24820.06,85.69,1257.32,65.04,17.549999999999997,Europe,Unknown,0.0210117313014984,19.740447936881623,26418470.0,0.0210117313014984,2,1,0,2,74.5,1269.2034320502764,1.0,22065.965999999997,2514.64,19740.44793688162,21.011731301498425,0.939496496201332,18525.006666666668,17385.946666666667,0.0294742384978183,0.0282129053451243,95.08431282410208,12,7,3,2,RUS,0.021011731301498426,0.021011731301498426,19.740447936881623
