Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%),Material_Footprint_Per_Capita,Continent,Hemisphere,Waste_Per_Capita_kg,Economic_Loss_Per_Capita_USD,Carbon_Footprint_kgCO2e,Carbon_Per_Capita_kgCO2e,Years_From_2018,Is_Pandemic_Year,Is_Post_Pandemic,Year_Trend,Country_Trend,Year_Cycle,Year_Cycle_Cos,Population_Material_Interaction,Year_Population_Interaction,GDP_Per_Capita_Proxy,Waste_Efficiency,Economic_Intensity,Waste_Trend,Economic_Trend,Category_Waste_Share,Category_Economic_Share,Sustainability_Score,Country_Encoded,Food Category_Encoded,Continent_Encoded,Hemisphere_Encoded,ISO_Code
South Africa,2024,Frozen Food,39478.7,40087.26,155.55,375.84,31.16,17.549999999999997,Africa,Unknown,155.55,106.66044061302684,98696750.0,0.2626031023839932,6,0,1,6,226.5,1271.7167061731484,-0.8090169943750019,6595.991999999998,2255.04,106660.44061302683,105.04124095359728,1.0154148946140578,39478.7,40087.26,0.04074430237239241,0.040914447849395144,14.243813856960408,14,3,0,2,ZAF
Japan,2022,Frozen Food,41025.9,35437.9,49.95,1219.43,33.79,17.549999999999997,Asia,Unknown,49.95,29.061036713874515,102564750.0,0.08410876393068893,4,1,0,4,165.5,1270.4600691117123,0.30901699437502833,21400.996499999997,4877.72,29061.036713874513,33.64350557227557,0.8637933598044163,41025.9,35437.9,0.05911519527190254,0.04931408242755663,59.83769662875278,10,3,2,2,JPN
USA,2024,Beverages,22924.85,22406.24,89.59,836.05,45.43,17.549999999999997,America,Unknown,89.59,26.80011961007117,57312125.0,0.06855107350038873,6,0,1,6,236.5,1271.7167061731484,-0.8090169943750019,14672.677499999996,5016.299999999999,26800.11961007117,27.42042940015549,0.9773778236280719,22924.85,22406.24,0.024246114874433594,0.023749690902769124,51.89617921575662,19,1,1,2,USA
France,2018,Beverages,29295.07,34102.25,46.64,1286.73,32.95,17.61,Europe,Northern Hemisphere,46.64,26.5030348247107,73237675.0,0.0569176711509019,0,0,0,0,19.5,1267.9467949888406,0.3090169943749612,22659.3153,0.0,26503.0348247107,22.767068460360758,1.1640951873472225,36230.443333333336,37211.43,0.03236147510088979,0.03928696082794307,64.27033027907953,5,1,3,0,FRA
USA,2022,Bakery Items,32457.98,27905.84,46.77,865.6,46.46,17.549999999999997,America,Unknown,46.77,32.23872458410351,81144950.0,0.09374416589648799,4,1,0,4,156.5,1270.4600691117123,0.30901699437502833,15191.279999999999,3462.4,32238.724584103507,37.49766635859519,0.8597528250371711,27691.415,25156.04,0.026170081867948676,0.022675613582577015,57.72430660813308,19,0,1,2,USA
USA,2021,Meat & Seafood,43264.26,44777.94,41.81,665.18,48.22,17.549999999999997,America,Unknown,41.81,67.31702697014343,108160650.00000001,0.1626035809855979,3,1,0,3,119.5,1269.8317505809944,0.8090169943749828,11673.908999999998,1995.54,67317.02697014343,65.04143239423917,1.03498684595553,32882.363333333335,31696.673333333336,0.061504371626104455,0.06353475752329839,49.094451807530795,19,6,1,2,USA
Brazil,2021,Frozen Food,23131.08,21882.67,50.79,853.06,49.78,18.87,America,Southern Hemisphere,50.79,25.65197055306778,57827700.00000001,0.06778854945724803,3,1,0,3,132.0,1269.8317505809944,0.8090169943749828,16097.2422,2559.18,25651.970553067782,27.115419782899213,0.9460288927278794,23131.08,21882.67,0.03238016350253188,0.02972196968723562,63.149709117764274,2,3,1,1,BRA
Saudi Arabia,2020,Prepared Food,18483.82,21071.65,198.62,143.12,48.83,30.03,Asia,Northern Hemisphere,198.10090000000002,147.2306456120738,46209550.0,0.3228727641140302,2,1,0,2,92.5,1269.2034320502764,1.0,4297.8936,286.24,147230.6456120738,129.14910564561208,1.1400051504505022,18483.82,21071.65,0.022451615956340532,0.025517055617097533,10.627634153158187,13,7,2,0,SAU
UK,2022,Meat & Seafood,25829.56,20806.34,119.62,185.01,32.51,17.549999999999997,Europe,Unknown,119.62,112.46062375006757,64573900.0,0.34902924166261284,4,1,0,4,145.0,1270.4600691117123,0.30901699437502833,3246.9254999999994,740.04,112460.62375006756,139.61169666504514,0.8055243682044912,20312.605,17576.655,0.022894365847881182,0.018477842976300424,17.159578833576564,18,6,3,2,GBR
China,2018,Prepared Food,11314.08,10287.7,111.67,953.52,33.75,21.34,Asia,Northern Hemisphere,111.67,10.78918113935733,28285200.0,0.0296639818776743,0,0,0,0,22.5,1267.9467949888406,0.3090169943749612,20348.1168,0.0,10789.18113935733,11.865592751069721,0.9092829465586244,12052.64,11260.490000000002,0.009797967070438089,0.009063806982716301,60.34960856615488,4,7,2,0,CHN
Saudi Arabia,2019,Fruits & Vegetables,10653.37,8992.33,74.16,37.76,46.44,30.03,Asia,Northern Hemisphere,74.16,238.14433262711864,26633425.000000004,0.7053343485169492,1,0,0,1,56.0,1268.5751135195585,0.8090169943749413,1133.9328,37.76,238144.33262711865,282.1337394067797,0.8440831398890679,14568.595000000001,15031.990000000002,0.009907905805491694,0.008518408593455366,20.224000000000004,13,4,2,0,SAU
Australia,2020,Fruits & Vegetables,1322.82,1394.01,88.85,205.78,30.63,46.82,Oceania,Southern Hemisphere,88.85,6.7742734959665665,3307049.9999999995,0.016070803771017588,2,1,0,2,75.0,1269.2034320502764,1.0,9634.6196,411.56,6774.273495966567,6.428321508407036,1.0538168458293646,10295.725,10040.345,0.0017728257344145906,0.00191247937068301,70.26171331843068,1,4,4,1,AUS
India,2023,Meat & Seafood,33403.26,39125.38,137.6,1299.21,36.55,17.549999999999997,Asia,Unknown,137.6,30.11474665373573,83508150.00000001,0.06427609855219711,5,0,1,5,210.0,1271.0883876424302,-0.30901699437484287,22801.135499999997,6496.05,30114.74665373573,25.710439420878842,1.1713042379695873,19161.49,21317.53,0.04077635485443347,0.0490253307570673,36.86404076323304,7,6,2,2,IND
Italy,2023,Fruits & Vegetables,30875.29,31341.6,198.26,349.04,52.64,17.549999999999997,Europe,Unknown,198.10090000000002,89.79371991748796,77188225.0,0.22114435308274125,5,0,1,5,189.5,1271.0883876424302,-0.30901699437484287,6125.651999999999,1745.2,89793.71991748796,88.45774123309648,1.0151030160364485,30875.29,31341.6,0.022964394566884278,0.022889233973986886,16.731338815035524,9,4,3,2,ITA
Saudi Arabia,2024,Prepared Food,33085.77,28923.13,37.71,552.45,38.96,17.549999999999997,Asia,Unknown,37.71,52.35429450629016,82714424.99999999,0.14972291610100458,6,0,1,6,219.5,1271.7167061731484,-0.8090169943750019,9695.4975,3314.7000000000003,52354.294506290156,59.88916644040184,0.8741863949365544,20740.986666666668,19662.37,0.03261140933157432,0.02804413102281682,50.96062503393972,13,7,2,2,SAU
Germany,2018,Beverages,12336.2,10077.91,38.86,689.21,36.92,20.23,Europe,Northern Hemisphere,38.86,14.622408264534757,30840500.0,0.04474760958198517,0,0,0,0,21.0,1267.9467949888406,0.3090169943749612,13942.7183,0.0,14622.408264534757,17.899043832794067,0.8169379549618196,22358.36,19392.773333333334,0.012105083689655257,0.010065245103391305,75.98567056001315,6,1,3,0,DEU
Brazil,2021,Bakery Items,5949.18,6656.14,35.46,698.43,61.48,18.87,America,Southern Hemisphere,35.46,9.530146185014964,14872950.0,0.021294832696190025,3,1,0,3,132.0,1269.8317505809944,0.8090169943749828,13179.374099999999,2095.29,9530.146185014964,8.51793307847601,1.1188331837328842,14540.130000000001,14269.404999999999,0.008327990785816858,0.009040651406523817,82.11870039946739,2,0,1,1,BRA
France,2018,Frozen Food,17470.52,16267.24,73.76,855.4,60.11,17.61,Europe,Northern Hemisphere,73.76,19.017114800093523,43676300.0,0.051059504325461774,0,0,0,0,19.5,1267.9467949888406,0.3090169943749612,15063.594,0.0,19017.114800093525,20.42380173018471,0.9311251181991148,26620.72,29116.77,0.019299213075087283,0.018740418026926334,63.00426030706882,5,3,3,0,FRA
Spain,2021,Fruits & Vegetables,41676.18,43058.29,135.22,1325.54,54.32,13.48,Europe,Northern Hemisphere,135.22,32.48358404876503,104190450.0,0.07860226775502814,3,1,0,3,144.0,1269.8317505809944,0.8090169943749828,17868.2792,3976.62,32483.58404876503,31.440907102011256,1.0331630682082666,41676.18,43058.29,0.03789557771174986,0.03928822601258862,34.86250923145787,16,4,3,0,ESP
Mexico,2018,Meat & Seafood,20604.34,23257.47,31.88,412.45,67.53,10.89,America,Northern Hemisphere,31.88,56.388580433992004,51510850.0,0.12488992605164262,0,0,0,0,19.5,1267.9467949888406,0.3090169943749612,4491.5805,0.0,56388.58043399201,49.95597042065705,1.1287655901620728,20604.34,23257.47,0.01986121726296873,0.02281055309790171,54.005271103568106,11,6,1,0,MEX
Argentina,2020,Bakery Items,49310.46,49520.57,21.69,983.97,55.47,15.81,America,Southern Hemisphere,21.7197,50.32731688974257,123276150.0,0.12528445989206988,2,1,0,2,94.5,1269.2034320502764,1.0,15556.565700000001,1967.94,50327.31688974257,50.11378395682795,1.004260962075795,49310.46,49520.57,0.04719038838657577,0.0456581119728704,56.69893240647581,0,0,1,1,ARG
Indonesia,2024,Frozen Food,26812.66,28028.3,57.0,891.66,48.81,17.549999999999997,Asia,Unknown,57.0,31.433842496018663,67031649.99999999,0.07517624430836865,6,0,1,6,227.5,1271.7167061731484,-0.8090169943750019,15648.632999999996,5349.96,31433.842496018664,30.070497723347465,1.0453382842284205,15364.815,16211.39,0.03160097498134655,0.03376467439953118,56.714043469483876,8,3,2,2,IDN
Argentina,2022,Bakery Items,17868.63,20588.93,82.52,897.76,54.59,17.549999999999997,America,Unknown,82.52,22.933668240955267,44671575.00000001,0.049758927775797546,4,1,0,4,164.5,1270.4600691117123,0.30901699437502833,15755.687999999996,3591.04,22933.668240955267,19.903571110319017,1.1522388677811337,33589.545,35054.75,0.02481628878875351,0.02872288394080925,57.80887981940237,0,0,1,2,ARG
USA,2019,Bakery Items,13732.64,15129.94,156.84,618.88,38.14,17.549999999999997,America,Unknown,156.84,24.447291882109617,34331600.0,0.05547375904860393,1,0,0,1,57.0,1268.5751135195585,0.8090169943749413,10861.343999999997,618.88,24447.291882109617,22.18950361944157,1.101750282538536,29818.29333333333,29271.24,0.01463316855873321,0.01641041960568089,38.33610554550155,19,0,1,2,USA
Saudi Arabia,2019,Beverages,29827.95,31970.55,102.81,1235.4,66.68,30.03,Asia,Northern Hemisphere,102.81,25.878703254006798,74569875.0,0.060360915492957745,1,0,0,1,56.0,1268.5751135195585,0.8090169943749413,37099.062000000005,1235.4,25878.7032540068,24.144366197183096,1.0718319562692038,24522.36333333333,23295.336666666666,0.02774075423747753,0.03028561094371475,49.55331762991743,13,1,2,0,SAU
Canada,2021,Frozen Food,28802.2,29584.64,190.42,687.81,33.73,35.05,America,Northern Hemisphere,190.42,43.012808769863774,72005500.0,0.1046880679257353,3,1,0,3,130.0,1269.8317505809944,0.8090169943749828,24107.740499999996,2063.43,43012.808769863776,41.875227170294124,1.027165980376499,28802.2,29584.64,0.023824003230420426,0.024582323297205944,23.71871592445588,3,3,1,0,CAN
South Korea,2023,Frozen Food,29848.3,27362.18,47.82,1131.8,49.97,17.549999999999997,Asia,Unknown,47.82,24.175808446722037,74620750.0,0.06593103905283619,5,0,1,5,190.0,1271.0883876424302,-0.30901699437484287,19863.089999999997,5659.0,24175.808446722036,26.372415621134476,0.9167081542332395,29848.3,27362.18,0.04208157740829632,0.03846489716745472,65.16028132178829,15,3,2,2,KOR
Brazil,2024,Grains & Cereals,39420.56,34541.01,65.63,513.73,56.49,17.549999999999997,America,Unknown,65.63,67.23572693827496,98551400.0,0.1918350106086855,6,0,1,6,241.0,1271.7167061731484,-0.8090169943750019,9015.9615,3082.38,67235.72693827497,76.73400424347419,0.8762181460638815,22833.60666666667,21026.606666666667,0.04175894614713781,0.037214735815801106,40.988566030145535,2,5,1,2,BRA
Brazil,2024,Prepared Food,37292.94,35268.41,80.6,619.76,57.0,17.549999999999997,America,Unknown,80.6,56.90656060410482,93232350.0,0.15043299018975087,6,0,1,6,241.0,1271.7167061731484,-0.8090169943750019,10876.787999999999,3718.56,56906.560604104816,60.17319607590035,0.9457127810250412,27554.226666666666,25488.52,0.0395051179670822,0.03799844187513214,39.480687255281616,2,7,1,2,BRA
Japan,2020,Beverages,44797.11,41233.8,64.74,1234.63,65.69,18.18,Asia,Northern Hemisphere,64.74,33.397698095785785,111992775.0,0.09070958505787159,2,1,0,2,97.0,1269.2034320502764,1.0,22445.5734,2469.26,33397.69809578578,36.283834023148636,0.920456699104027,42911.505000000005,38335.850000000006,0.04711813322236859,0.044678795135537644,52.245151324688365,10,1,2,0,JPN
Japan,2023,Bakery Items,40398.07,48103.94,177.95,367.79,32.26,17.549999999999997,Asia,Unknown,177.95,130.79186492291797,100995175.0,0.27460011147665786,5,0,1,5,195.0,1271.0883876424302,-0.30901699437484287,6454.714499999999,1838.95,130791.86492291797,109.84004459066314,1.190748468924382,42073.693333333336,41591.880000000005,0.05075334630034401,0.0630271177316163,13.523993311400528,10,0,2,2,JPN
Russia,2020,Dairy Products,13679.64,14249.79,182.75,776.16,51.14,17.549999999999997,Europe,Unknown,182.75,18.359346011131727,34199100.0,0.044061920222634506,2,1,0,2,74.5,1269.2034320502764,1.0,13621.607999999997,1552.32,18359.346011131725,17.624768089053802,1.0416787283875892,13679.64,14249.79,0.01526193499942638,0.016197703650107986,43.58677527829313,12,2,3,2,RUS
China,2024,Frozen Food,11766.79,11890.12,21.26,84.69,37.22,17.549999999999997,Asia,Unknown,21.7197,140.3957964340536,29416975.000000004,0.3473488605502421,6,0,1,6,244.0,1271.7167061731484,-0.8090169943750019,1486.3094999999996,508.14,140395.7964340536,138.93954422009685,1.0104811932566147,11957.356666666667,11470.366666666669,0.012254686188878402,0.012169073497135868,43.48973503365214,4,3,2,2,CHN
Argentina,2021,Meat & Seafood,24444.03,26615.82,123.83,303.78,60.73,15.81,America,Southern Hemisphere,123.83,87.61544538810982,61110075.0,0.20116556389492396,3,1,0,3,130.5,1269.8317505809944,0.8090169943749828,4802.761799999999,911.3399999999999,87615.44538810982,80.4662255579696,1.0888474609137693,30541.039999999997,32241.773333333334,0.0232876893340694,0.02522590827484575,24.90873283297123,0,6,1,1,ARG
Russia,2019,Bakery Items,15476.91,13087.99,176.5,1335.8,36.7,17.549999999999997,Europe,Unknown,176.5,9.797866447072915,38692275.0,0.028965619853271448,1,0,0,1,41.5,1268.5751135195585,0.8090169943749413,23443.289999999994,1335.8,9797.866447072915,11.58624794130858,0.8456461916493667,14578.275,13668.89,0.02163736243533796,0.018860052210163344,50.913662973499015,12,0,3,2,RUS
Saudi Arabia,2018,Frozen Food,2751.15,2310.76,52.39,622.92,51.0,28.79,Asia,Northern Hemisphere,52.39,3.7095614204071157,6877875.0,0.011041345598150645,0,0,0,0,19.0,1267.9467949888406,0.3090169943749612,17933.8668,0.0,3709.5614204071157,4.416538239260259,0.8399251222216164,21888.289999999997,21068.146666666664,0.002917096254856207,0.0024179429625131575,82.58468153213896,13,3,2,0,SAU
Italy,2024,Fruits & Vegetables,20238.65,18395.86,22.64,467.6,50.9,17.549999999999997,Europe,Unknown,22.64,39.34101796407185,50596625.0,0.10820492942686057,6,0,1,6,234.0,1271.7167061731484,-0.8090169943750019,8206.38,2805.6000000000004,39341.017964071856,43.28197177074423,0.9089469900413317,25556.97,24868.73,0.01884116902841052,0.01764963789855495,57.964607428001145,9,4,3,2,ITA
USA,2022,Dairy Products,8731.68,10040.12,63.83,543.41,42.96,17.549999999999997,America,Unknown,63.83,18.476141403360266,21829200.0,0.040170773449145214,4,1,0,4,156.5,1270.4600691117123,0.30901699437502833,9536.845499999998,2173.64,18476.141403360267,16.068309379658086,1.1498497425466807,21909.52666666666,23316.0,0.0070401417600457605,0.008158359735550092,66.71131420719776,19,2,1,2,USA
UK,2023,Grains & Cereals,23609.83,25520.57,152.21,272.87,66.14,17.549999999999997,Europe,Unknown,152.21,93.52647780994613,59024575.00000001,0.21631023930809545,5,0,1,5,190.0,1271.0883876424302,-0.30901699437484287,4788.8685,1364.35,93526.47780994613,86.52409572323818,1.0809298499819777,21411.680000000004,20224.626666666667,0.02726176695787932,0.029585886827004214,17.02138564151427,18,5,3,2,GBR
South Korea,2024,Grains & Cereals,38427.68,31258.66,92.89,952.23,40.69,17.549999999999997,Asia,Unknown,92.89,32.826796047173474,96069200.0,0.1008886508511599,6,0,1,6,223.5,1271.7167061731484,-0.8090169943750019,16711.636499999997,5713.38,32826.79604717348,40.355460340463964,0.8134412485999675,34137.99,29310.42,0.04677681642891236,0.037654716050008516,44.55591724688364,15,5,2,2,KOR
Germany,2023,Bakery Items,33550.41,32946.48,193.85,1333.3,55.02,17.549999999999997,Europe,Unknown,193.85,24.710477761944052,83876025.00000001,0.06290859146478663,5,0,1,5,229.0,1271.0883876424302,-0.30901699437484287,23399.414999999994,6666.5,24710.47776194405,25.163436585914653,0.9819993257906535,30308.443333333333,27405.213333333333,0.03324947004411482,0.032705500313753216,37.69262619065476,6,0,3,2,DEU
Australia,2020,Beverages,45243.85,37828.94,47.21,559.57,50.34,46.82,Oceania,Southern Hemisphere,47.21,67.60358846971782,113109625.0,0.20213668531193596,2,1,0,2,75.0,1269.2034320502764,1.0,26199.067400000004,1119.14,67603.58846971783,80.85467412477438,0.8361123113970187,21945.100000000002,19303.210000000003,0.0606352047927863,0.05189852824929904,45.282465547950515,1,1,4,1,AUS
UK,2023,Meat & Seafood,30022.09,24487.08,92.64,1278.03,54.63,17.549999999999997,Europe,Unknown,92.64,19.160019717847,75055225.0,0.058727279484832126,5,0,1,5,190.0,1271.0883876424302,-0.30901699437484287,22429.426499999994,6390.15,19160.019717847,23.49091179393285,0.8156354204520738,26487.160000000003,23604.663333333334,0.034665866766871216,0.02838776632354992,57.40234844252482,18,6,3,2,GBR
Argentina,2019,Prepared Food,49481.61,51126.24,95.46,1281.78,59.3,15.81,America,Southern Hemisphere,95.46,39.886907269578245,123704025.0,0.09650956092309132,1,0,0,1,54.5,1268.5751135195585,0.8090169943749413,20264.9418,1281.78,39886.907269578245,38.603824369236534,1.0332371966069818,30598.089999999997,32776.996666666666,0.044256831279817894,0.04552360487915372,38.838245892430834,0,7,1,1,ARG
Australia,2022,Grains & Cereals,13313.78,13273.68,140.85,183.45,41.34,17.549999999999997,Oceania,Unknown,140.85,72.35584627964023,33284450.000000004,0.1814360861270101,4,1,0,4,144.0,1270.4600691117123,0.30901699437502833,3219.547499999999,733.8,72355.84627964023,72.57443445080405,0.9969880830237543,19960.149999999998,17498.876666666667,0.016636159872014663,0.016955150896944507,21.553834832379394,1,5,4,2,AUS
UK,2021,Frozen Food,33936.66,31082.9,24.93,1234.55,66.51,17.549999999999997,Europe,Unknown,24.93,25.177514073954075,84841650.00000001,0.06872273297962822,3,1,0,3,105.0,1269.8317505809944,0.8090169943749828,21666.352499999997,3703.6499999999996,25177.514073954077,27.489093191851286,0.9159092261878452,29189.526666666672,27030.183333333334,0.042962267175619205,0.038377336351179826,70.34550046575674,18,3,3,2,GBR
Russia,2020,Prepared Food,26418.47,24820.06,85.69,1257.32,65.04,17.549999999999997,Europe,Unknown,85.69,19.740447936881623,66046175.0,0.052529328253746066,2,1,0,2,74.5,1269.2034320502764,1.0,22065.965999999997,2514.64,19740.44793688162,21.011731301498425,0.9394964962013319,18525.006666666668,17385.946666666667,0.029474238497818352,0.02821290534512433,59.192237685447346,12,7,3,2,RUS
Mexico,2021,Frozen Food,25204.06,22725.56,65.79,1196.99,60.76,10.85,America,Northern Hemisphere,65.79,18.985588852037193,63010150.0,0.05264049824977652,3,1,0,3,110.0,1269.8317505809944,0.8090169943749828,12987.3415,3590.9700000000003,18985.588852037192,21.05619929991061,0.9016626686335456,22904.2,22991.515,0.027996817896628872,0.02495258960103149,65.05837846598551,11,3,1,0,MEX
Japan,2022,Prepared Food,3891.45,4059.29,183.91,160.01,43.77,17.549999999999997,Asia,Unknown,183.91,25.368976938941316,9728625.0,0.06080010624335979,4,1,0,4,165.5,1270.4600691117123,0.30901699437502833,2808.1754999999994,640.04,25368.976938941316,24.320042497343916,1.0431304526590346,29695.54333333333,31132.343333333338,0.00560728287839743,0.005648759143666988,37.325260921192424,10,7,2,2,JPN
Canada,2024,Frozen Food,29007.66,28622.38,34.53,1327.02,56.87,17.549999999999997,America,Unknown,34.53,21.568913806875557,72519150.0,0.054648121354614096,6,0,1,6,236.0,1271.7167061731484,-0.8090169943750019,23289.200999999997,7962.12,21568.913806875556,21.859248541845638,0.9867179910409871,28904.93,29103.510000000002,0.029471105212621612,0.029493671119555597,71.33642736356649,3,3,1,2,CAN
Mexico,2021,Meat & Seafood,32727.8,37447.1,100.48,261.12,39.04,10.85,America,Northern Hemisphere,100.48,143.40954350490196,81819500.0,0.31334060968137256,3,1,0,3,110.0,1269.8317505809944,0.8090169943749828,2833.152,783.36,143409.54350490196,125.33624387254902,1.1441985101351144,26178.733333333334,27810.043333333335,0.036354232483071784,0.0411167917555733,24.404896752450977,11,6,1,0,MEX
Italy,2023,Dairy Products,46189.14,42351.8,150.95,253.83,33.01,17.549999999999997,Europe,Unknown,150.95,166.85104203600835,115472850.0,0.45492199503604774,5,0,1,5,189.5,1271.0883876424302,-0.30901699437484287,4454.7164999999995,1269.15,166851.04203600835,181.9687980144191,0.9169211637194371,32434.36,30696.420000000002,0.034354515720016146,0.0309301458578853,2.7046802978371356,9,2,3,2,ITA
Saudi Arabia,2024,Fruits & Vegetables,1104.56,1300.14,134.77,906.42,37.85,17.549999999999997,Asia,Unknown,134.77,1.4343681736943141,2761399.9999999995,0.003364653069297164,6,0,1,6,219.5,1271.7167061731484,-0.8090169943750019,15907.670999999997,5438.5199999999995,1434.3681736943142,1.218596235740606,1.1770659810241184,11227.886666666667,11860.483333333332,0.0010887235899688515,0.0012606276190718316,62.802767767701496,13,4,2,2,SAU
Mexico,2021,Prepared Food,41701.22,42629.63,154.95,850.56,64.4,10.85,America,Northern Hemisphere,154.95,50.119485985703534,104253050.0,0.12256989512791573,3,1,0,3,110.0,1269.8317505809944,0.8090169943749828,9228.576,2551.68,50119.48598570353,49.027958051166294,1.0222633774263679,33211.026666666665,34267.43,0.0463219601289339,0.04680719252831701,22.645806292325055,11,7,1,0,MEX
Turkey,2022,Prepared Food,11484.88,10827.65,196.26,39.26,63.03,17.549999999999997,Europe,Unknown,196.26,275.79342842587874,28712199.999999996,0.7313346917982678,4,1,0,4,163.5,1270.4600691117123,0.30901699437502833,689.0129999999998,157.04,275793.42842587875,292.53387671930716,0.9427743258963089,11484.88,10827.65,0.013884105494917318,0.012798473646395914,0.0,17,7,3,2,TUR
Indonesia,2021,Beverages,23043.63,22714.51,167.69,477.21,56.08,6.77,Asia,Southern Hemisphere,167.69,47.598562477735165,57609075.00000001,0.1207205947067329,3,1,0,3,115.0,1269.8317505809944,0.8090169943749828,3230.7117,1431.6299999999999,47598.56247773516,48.28823788269316,0.9857175280109947,17924.420000000002,18379.096666666665,0.023595402832337534,0.023333049543640287,22.756764317596023,8,1,2,1,IDN
